Author_Name,Author_ID
Wenjing Lu,2111609309
Ya-li Dang,10915901
Xinchang Gao,2027016864
Yufen Zhao,2154943626
Pooja Sharma,2142289797
H. A. Ahmed,2315045
Swarup Roy,38217938
D. Bhattacharyya,50573679
Zhen Zhang,2118029605
Cheng Ma,144970602
Rong Zhu,2070270377
M. Ingalhalikar,1790073
Sumeet Shinde,116506705
Arnav Karmarkar,2092490343
Archith Rajan,144010127
D. Rangaprakash,3064304
G. Deshpande,143879680
M. T. Isyapar,2171515450
Suleyman Yildirim,2283151989
Ufuk Uyan,2183450331
Abhishek Singh,2297639944
Zohaib Hasan,2297562560
Vishal Paranjape,2138523055
Vedant Vashishtha,2318080021
Shubhanshika Chhabra,2318069573
Vasileios P. Rekkas,1809387553
Michail Kerasidis,2328292462
S. Sotiroudis,31249935
P. Sarigiannidis,2298465626
Konstantinos E. Psannis,41037178
E. Krystallidou,98884159
Sotirios K Goudos,144461881
Andrei Mircea,1683066845
Hannah Ker,2005543466
R. Sieber,39724649
Sarah Greenidge,2005523802
Sam Lumley,2005222538
Drew Bush,97494650
Stefan Morgan,2005430301
Rosie Zhao,2004617613
Mikael Brunila,1382832269
Yu Sun,2117103880
H. Reynolds,2110905
D. Wraith,38916898
S. Williams,35265720
M. Finnegan,2872756
C. Mitchell,2250039140
D. Murphy,143799272
A. Haworth,2784368
N. Tran,2068611376
Samer Albahra,1830412825
L. May,5371772
S. Waldman,46611479
Scott Crabtree,2148536328
Scott Bainbridge,2143549636
H. Rashidi,31682040
Shaikh Areeba Abdul Hakeem,2163319579
Muskan Singh,2163320822
Pooja Nandukumar Shingewad,2163320765
Shruti Shrikant Nikam,2163321391
Zhibin Yang,2109432754
Yang Bao,2075377374
Yongqiang Yang,49307645
Zhiqiu Huang,1713329
J. Bodeveix,1763020
M. Filali,1709518
Zonghua Gu,2068006437
Farjana Akter,2287962033
Md. Umor Faruk Jahangir,2279481335
Md. Forhad Rabbi,2378919
R. Chowdhury,69938484
Seunghye Lee,13834779
Lee， Jaehong,2092359213
A. Zatcepin,1416711090
M. Pizzichemi,2273972386
A. Polesel,1629509028
M. Paganoni,2425652
E. Auffray,152163988
S. Ziegler,1937193
Negar Omidvari,6148099
P. Guo,1491726224
Ting Yang,2149250323
Wenxian Xu,108345623
Bin Chen,2146709950
Meiyan Xu,2110683490
Junfeng Yao,2109803227
Yifeng Zheng,2158586628
Yaojin Lin,7893127
BingHao Pan,2336141538
Wensheng Liu,2336246022
Pan Zhou,2113326933
D. Wu,2262083284
Zizhan Zhang,2327864577
Yingchun Cao,2332145446
Julia Joch,2199322527
Kristina Kirsten,2149538895
B. Arnrich,2798136
Mahnoor Anjum,151104072
M. A. Abdullah Khan,35432676
Syed Ali Hassan,1682336
Haejoon Jung,3027741
K. Dev,1845870613
C. Li,46651287
Xiaohui Zheng,145648555
Xing Meng,2109496569
Li Wang,2152721408
Chunxiao Xing,1838264
Hyunwoong Ko,47885718
HaiBo Cui,2112820873
Jingjing Zhai,6989114
Chuang Ma,49679382
Rajinder Gupta,2110343231
J. Kleinjans,21805338
F. Caiment,2349478
B. K. Joardar,25173634
J. Doppa,2089333
Hai Helen Li,40348219
K. Chakrabarty,143631962
P. Pande,1754491
A. Battle,145086335
"Hyun Sim, Hyunwook Kim",2273444328
Y. Kim,49170958
Youngdoo Son,2242129
Wonjoon Kim,2821001
Byungki Jin,2996101
M. Yun,1716140
Liangxiao Jiang,1746953
Sun-A Lee,2107991276
A-Reum Yoon,2176277969
Ji-Won Lee,2176367738
Kwangjae Lee,2764370
Mansour Al Sulaiman,1429644956
Abdullah M. Moussa,32445208
Sherif M. Abdou,143993049
Hebah Elgibreen,7443096
Mohammed Faisal,2140414538
M. Rashwan,144474786
Mengxin Lu,1606631052
Z. Du,46890734
Jiping Zhao,2109903853
Lan Jiang,2108236750
Ruoyi Liu,2143183485
Muzhao Zhang,2217527852
Tianjiao Xu,122746553
Jingpei Wei,2209318207
Wen Wang,47825073
Lingling Xu,2171089846
Haijiao Guo,2217583667
Chen Chen,2127381476
Xin Yu,2203255945
Zhong-jian Tan,5113985
J. Fang,6670979
Yihuai Zou,32987037
Andrzej Wolski,2301456280
Diego Botelho,2301456917
David Dunning,2301456880
Amelia E. Pollard,2301457158
K. D. Jong,145502027
David Schaffer,49800767
D. Goldberg,1715339
J. Grefenstette,1869443
G. Robertson,1699184
Stewart W. Wilson,2341152
Robert H Wilson,2284589645
Rebecca Rowland,40055142
Gordon T. Kennedy,2220225377
Chris Campbell,2284315906
Victor C. Joe,2212779451
Theresa Chin,2284322584
D. Burmeister,2496150
Robert J Christy,2284324431
A. Durkin,2250078739
Yuntao Hu,2166292082
Mingzhe Chen,2107942948
Zhaohui Yang,50109653
M. Shikh-Bahaei,1388444445
H. Poor,2113229282
Shuguang Cui,2106614719
Vaishali Balakarthikeyan,117148565
Rohan Jais,108618107
S. Vijayarangan,1631291481
Preejith Sreeletha Premkumar,40902088
M. Sivaprakasam,2370826
Samuel S. Rudisill,1471263888
Alexander L Hornung,2106488024
J. N. Barajas,2151212957
Jack J. Bridge,2164773572
G. M. Mallow,1791176331
Wylie Y. Lopez,51160636
Arash J. Sayari,10749586
Philip K. Louie,3462777
G. Harada,151420454
Y. Tao,49784582
H. Wilke,144793101
M. Colman,49030166
F. Phillips,1769056
H. An,143986637
Dino Samartzis,1864048336
P. Mollaei,2101395648
A. Farimani,3614493
M. A. Bagherzadeh,47527104
M. Yazdi,145105283
B. Karthick,2004415152
Harjeetpal Singh,123317618
Muthukumaran Malarvel,10762902
Ankit Chouhan,2133769321
Ashok Parmar,2055494867
Kamal M. Captain,40451323
M. López-Benítez,1397286739
P. Pant,152762383
A. Rajawat,40642247
S. Goyal,2067928143
P. Chakrabarti,153906595
P. Bedi,2005805289
Ayodeji Olalekan Salau,1456147509
Yongli Yang,2236388442
Xiaoyi Wang,2155610656
Shuyan Wang,2108710355
Qiang Chen,2146379306
Mingli Li,47629206
Shaoxiong Lu,8090588
S. Leelavathy,2336892288
S. Balakrishnan,2336889297
M. Manikandan,2336890541
J. Palanimeera,2336888876
K. Mohana Prabha,2336889646
R. Vidhya,2336892247
Sanjeev Bhardwaj,2296349233
Deepankar Bharadwaj,47350595
Roberto De La Rosa,2146890947
R. Tolosana-Delgado,1402012203
M. Kirsch,40586945
R. Gloaguen,2971695
Saikat Majumdar,2057273909
Mohammad Hossein Samavatian,2830340
Kristin Barber,20295684
R. Teodorescu,3084320
Liuhuan Ma,2300714018
Jiong Yang,2300498524
Gauri Malwe,107691802
D. Kshirsagar,39934720
A. Madkaikar,108369486
Abdul Gaffar Sheik,2238575287
Arvind Kumar,2211951391
Anandan Govindan Sharanya,2332071713
Seshagiri Rao Amabati,2332071470
F. Bux,2757420
S. Kumari,144971017
M. A. Ganaie,151113774
M. Tanveer,152622072
P. Suganthan,1688355
Ziyi Chen,2144251699
Shaocong Ma,1576266923
Yi Zhou,2118765295
Bo Ding,
Hao Luo,145639692
Zhigang Wu,144033656
Shuzhuang Zhang,2738247
Gang Tang,145339203
Hao Hu,2118878902
Jian Kong,2072804942
Hao Liu,46935802
Shovit Kumar,2295117580
Dr. Raju Ranjan,2294985470
Yang Li,2154901086
Yankun Peng,2266146826
Yong-yu Li,2110428458
Tianzhen Yin,2221290055
Bingwei Wang,2218737523
E. V. Potapova,2059358589
V. Shupletsov,1395086006
V. Dremin,2315092655
A. V. Mamoshin,2316755864
A. V. Dunaev,2135277815
M. Nouredanesh,3408086
Katharina Gordt,9666956
M. Schwenk,46719775
J. Tung,145407517
Khalid Suliman,2314455767
M. Balushi,2215939951
Hannah Holliday,2314444012
M. Alblooshi,2188959290
Amar Ahmad,2314901143
Mohamed Raoui,2214662748
Mohammed Ennaouri,2276077186
M. Yazidi,40381948
A. Zellou,2207947
T. Jo,2665454
Markus Bayer,144892532
M. Kaufhold,2555887
Björn Buchhold,2209043
Marcel Keller,
J. Dallmeyer,2774931
Christian Reuter,145481292
Wei Fu,2271901441
Junlong Zhao,2272261103
Guobin Chen,2271802749
L. V. Linya,2316469886
Yuanhui Yu,50133881
Nouria Rahnema,1911979413
F. S. Gharehchopogh,2355470
K. Ahn,7002272
Kwang-Sig Lee,48052757
Y. Ghaffar,75097474
Faizan Shaukat,1950956867
A. Desai,48933647
Muhammad J. Khalil,51250683
M. Alkhouli,6887512
B. Raybuck,4603454
V. Badhwar,5304239
