DOI,Field_ID
10.1016/j.artmed.2022.102438,2
10.1016/j.advengsoft.2022.103192,2
10.1016/j.advengsoft.2022.103192,3
10.1016/j.pneurobio.2022.102268,9
10.1016/j.pneurobio.2022.102268,5
10.3389/fnmol.2021.807969,9
10.3389/fnmol.2021.807969,5
10.3389/fnins.2021.699583,9
10.3389/fnins.2021.699583,5
10.1038/s41598-021-99538-9,9
10.1038/s41598-021-99538-9,2
10.1038/s41598-021-99538-9,5
10.1016/j.neuron.2021.06.026,9
10.1016/j.neuron.2021.06.026,5
10.3390/ijms22126575,9
10.3390/ijms22126575,5
10.3389/fped.2021.634092,5
10.1016/j.neuron.2021.02.011,9
10.1016/j.neuron.2021.02.011,5
10.1126/science.abb2153,5
10.1126/science.abb2153,9
10.1109/EMBC44109.2020.9176339,2
10.1109/EMBC44109.2020.9176339,5
10.1016/j.autcon.2023.105064,2
10.1016/j.autcon.2023.105064,3
10.1016/j.aei.2023.102030,3
10.1016/j.aei.2023.102030,2
10.46338/ijetae1022_03,2
10.46338/ijetae1022_03,3
10.3390/buildings12101503,1
10.3390/buildings12101503,2
10.3390/buildings12101503,3
10.3389/fbuil.2022.834671,2
10.3389/fbuil.2022.834671,3
10.3390/app12062928,2
10.3390/app12062928,3
10.1061/(asce)me.1943-5479.0000948,2
10.1061/(asce)me.1943-5479.0000948,3
10.1016/j.dib.2020.105690,5
10.1002/jrsm.1411,5
10.1002/jrsm.1411,2
10.1186/s12911-019-1007-5,5
10.1186/s12911-019-1007-5,2
10.4103/ijabmr.IJABMR_370_18,2
10.4103/ijabmr.IJABMR_370_18,5
10.1007/s13755-019-0079-z,2
10.1007/s13755-019-0079-z,5
10.1162/99608f92.92fe150c,2
10.1515/bmt-2018-0074,5
10.1515/bmt-2018-0074,3
10.1515/bmt-2018-0074,2
10.1007/s00404-019-05151-7,2
10.1007/s00404-019-05151-7,5
10.1016/J.RSE.2017.05.025,1
10.1016/J.RSE.2017.05.025,2
10.1016/J.RSE.2017.02.021,1
10.1016/J.RSE.2017.02.021,19
10.1371/journal.pone.0184926,1
10.1371/journal.pone.0184926,2
10.1371/journal.pone.0184926,19
10.1371/journal.pone.0184926,5
10.1016/J.ISPRSJPRS.2017.07.011,1
10.1155/2017/4135465,5
10.1155/2017/4135465,3
10.1155/2017/4135465,2
10.1016/J.ISPRSJPRS.2017.01.019,1
10.1016/J.ISPRSJPRS.2017.01.019,19
10.1016/J.ISPRSJPRS.2017.01.019,2
10.1016/J.ISPRSJPRS.2017.01.019,15
10.1109/LGRS.2017.2681128,1
10.1109/LGRS.2017.2681128,2
10.1016/j.engappai.2023.107667,3
10.1016/j.engappai.2023.107667,2
10.1108/dlp-05-2023-0041,8
10.1108/dlp-05-2023-0041,2
10.1111/jcal.12949,8
10.1111/jcal.12949,2
10.1080/00207543.2023.2262050,3
10.1080/00207543.2023.2262050,2
10.1108/lhtn-07-2023-0129,8
10.1108/lhtn-07-2023-0129,2
10.1007/s11604-023-01474-3,2
10.1007/s11604-023-01474-3,5
10.1016/j.future.2023.08.001,8
10.1016/j.future.2023.08.001,2
10.1007/s40593-023-00342-5,8
10.1007/s40593-023-00342-5,2
10.1108/lht-07-2022-0331,8
10.1108/lht-07-2022-0331,2
10.1080/10447318.2022.2082017,8
10.1080/10447318.2022.2082017,2
10.1145/3133956.3134004,2
10.1515/popets-2017-0046,2
10.1109/SP.2017.41,11
10.1109/SP.2017.41,2
10.1145/2810103.2813677,5
10.1145/2810103.2813677,2
10.1007/978-3-319-13257-0_13,2
10.1007/978-3-319-11212-1_13,2
10.1007/978-3-642-39799-8_47,2
10.1016/j.dt.2023.07.010,2
10.1016/j.dt.2023.07.010,3
10.1016/j.ijimpeng.2022.104465,2
10.1016/j.ijimpeng.2022.104465,13
10.1016/j.ijimpeng.2022.104465,3
10.1016/j.ijimpeng.2022.104395,3
10.1016/j.ijmecsci.2020.105871,11
10.1016/j.ijmecsci.2020.105871,3
10.1007/s00193-020-00968-7,13
10.1007/s00193-020-00968-7,3
10.1061/(asce)st.1943-541x.0002694,6
10.1061/(asce)st.1943-541x.0002694,3
10.1016/J.DT.2019.08.004,6
10.1016/J.DT.2019.08.004,3
10.1016/j.jhazmat.2019.05.078,3
10.1016/j.jhazmat.2019.05.078,13
10.1016/j.jhazmat.2019.05.078,7
10.1016/j.jhazmat.2019.05.078,5
10.1016/j.applthermaleng.2019.114540,2
10.1016/j.applthermaleng.2019.114540,13
10.1016/j.applthermaleng.2019.114540,3
10.1109/CCWC54503.2022.9720896,2
10.1609/aaai.v35i17.17815,2
10.33564/ijeast.2020.v05i03.013,2
10.5815/IJISA.2019.07.03,2
10.5220/0007307504580465,2
10.3390/cancers15245759,5
10.1111/his.15077,5
10.1007/s13402-023-00883-w,5
10.1007/s00432-023-05209-9,9
10.1007/s00432-023-05209-9,5
10.1038/s41591-023-02482-6,9
10.1038/s41591-023-02482-6,2
10.1038/s41591-023-02482-6,5
10.3389/fimmu.2023.1177847,5
10.1186/s13045-023-01456-y,2
10.1186/s13045-023-01456-y,5
10.3389/fcell.2023.1060086,9
10.3389/fcell.2023.1060086,5
10.3390/jpm13050776,9
10.3390/jpm13050776,5
10.1186/s12944-023-01804-4,9
10.1186/s12944-023-01804-4,5
10.1002/9781119319085.ch2,7
10.1021/acscentsci.8b00357,5
10.1021/acscentsci.8b00357,7
10.1021/acscentsci.8b00357,2
10.1039/C7ME00107J,7
10.1039/C7ME00107J,2
10.1063/1.5020441,2
10.1063/1.5020441,13
10.1063/1.5020441,7
10.1063/1.5020441,5
10.1016/J.CHEMPR.2018.02.024,2
10.1016/J.CHEMPR.2018.02.024,7
10.1016/J.CHEMPR.2018.02.024,3
10.1021/acscentsci.7b00512,5
10.1021/acscentsci.7b00512,7
10.1021/acscentsci.7b00512,2
10.1021/jacs.7b06459,6
10.1021/jacs.7b06459,7
10.1021/jacs.7b06459,5
10.37028/LINGCURE.V5N1.726,4
10.37028/LINGCURE.V5N1.726,20
10.37028/LINGCURE.V5N1.726,8
10.37028/lingcure.v4n1.26,8
10.37028/lingcure.v4n1.26,2
10.5281/JRM.V3I2.42,10
10.5281/JRM.V3I2.42,8
10.21744/IRJMIS.V4I5.528,4
10.21744/IRJMIS.V4I5.528,8
10.1016/J.SBSPRO.2015.09.039,8
10.1016/J.SBSPRO.2015.09.039,5
10.1016/J.LABECO.2012.05.014,4
10.1016/J.LABECO.2012.05.014,16
10.1016/J.LABECO.2012.05.014,8
10.1016/J.LABECO.2012.05.014,5
10.1016/J.INFSOF.2009.11.004,3
10.1016/J.INFSOF.2009.11.004,2
10.1016/j.pnpbp.2018.09.014,5
10.1016/j.pnpbp.2018.09.014,4
10.1016/j.pnpbp.2018.09.014,2
10.1001/jamapsychiatry.2018.2165,4
10.1001/jamapsychiatry.2018.2165,2
10.1001/jamapsychiatry.2018.2165,5
10.1001/jama.2018.10574,5
10.1001/jama.2018.10061,5
10.1146/annurev-clinpsy-032816-045037,4
10.1146/annurev-clinpsy-032816-045037,2
10.1146/annurev-clinpsy-032816-045037,5
10.1111/acer.13295,7
10.1111/acer.13295,5
10.1016/S2215-0366(16)30171-7,2
10.1016/S2215-0366(16)30171-7,4
10.1016/S2215-0366(16)30171-7,5
10.2147/HMER.S74612,5
10.1016/S2215-0366(15)00471-X,2
10.1016/S2215-0366(15)00471-X,5
10.48550/arXiv.2311.01046,11
10.48550/arXiv.2311.01046,2
10.48550/arXiv.2305.10886,11
10.48550/arXiv.2305.10886,2
10.48550/arXiv.2302.02432,11
10.48550/arXiv.2302.02432,2
10.48550/arXiv.2210.07810,11
10.48550/arXiv.2210.07810,2
10.48550/arXiv.2210.06422,11
10.48550/arXiv.2210.06422,2
10.48550/arXiv.2210.01964,11
10.48550/arXiv.2210.01964,2
10.1007/s40615-020-00842-3,10
10.1007/s40615-020-00842-3,5
10.1097/CCM.0000000000004550,2
10.1097/CCM.0000000000004550,5
10.1016/j.ajog.2019.12.267,2
10.1016/j.ajog.2019.12.267,5
10.1007/s00330-020-07480-7,5
10.1007/s00330-020-07480-7,2
10.1186/s12978-019-0832-4,5
10.1371/journal.pone.0203550,5
10.1055/s-0037-1608847,5
10.1097/AOG.0000000000002343,10
10.1097/AOG.0000000000002343,5
10.1016/j.bmcl.2015.05.078,7
10.1016/j.bmcl.2015.05.078,5
10.1038/srep11481,2
10.1038/srep11481,5
10.1016/j.ejmech.2014.06.050,7
10.1016/j.ejmech.2014.06.050,5
10.1186/gb-2014-15-3-r47,9
10.1186/gb-2014-15-3-r47,5
10.1016/j.ejmech.2012.11.045,7
10.1016/j.ejmech.2012.11.045,5
10.1021/jm400002j,7
10.1021/jm400002j,5
10.1093/nar/gks937,9
10.1093/nar/gks937,5
10.1093/nar/gks937,2
10.1021/jm300605m,7
10.1021/jm300605m,5
10.1038/nature11005,9
10.1038/nature11005,5
10.1200/JCO.2010.32.3139,5
10.1109/CICN.2012.202,5
10.1109/CICN.2012.202,2
10.1007/978-3-642-15880-3_29,11
10.1007/978-3-642-15880-3_29,2
10.1007/978-3-642-10646-0_21,11
10.1007/978-3-642-10646-0_21,2
10.1016/j.eswa.2008.06.032,7
10.1016/j.eswa.2008.06.032,2
10.1016/j.eswa.2007.08.050,2
10.1016/j.eswa.2007.08.050,7
10.1016/j.eswa.2007.08.050,5
10.1002/SAM.V1:2,11
10.1002/SAM.V1:2,2
10.1109/BIBE.2006.253339,9
10.1109/BIBE.2006.253339,2
10.1016/j.apenergy.2023.122380,1
10.1016/j.apenergy.2023.122380,3
10.1016/j.jhydrol.2022.128265,1
10.3390/en15124501,3
10.3390/en15124501,14
10.3390/en15124501,2
10.1016/j.cjche.2022.04.004,7
10.1016/j.cjche.2022.04.004,2
10.1016/j.ijepes.2020.105864,1
10.1016/j.ijepes.2020.105864,3
10.1016/j.ijepes.2020.105864,2
10.2166/nh.2020.025,1
10.2166/nh.2020.025,3
10.1109/TPWRS.2019.2938618,1
10.1109/TPWRS.2019.2938618,3
