Author_Name,Author_ID
Jiachen Dang,2041846875.0
Yong Zhong,2023972375.0
P. Dharanyadevi,1874254.0
Amirthasaravanan Arivunambi,2043635667.0
B. Senthilnayaki,2242976074.0
P. Raj,144191726.0
H. Yen,2307477.0
Wei-Hsin Lin,2980674.0
O. Groot,46241283.0
Chih-Wei Chen,2109674117.0
Jiun-Jen Yang,2130037688.0
M. Bongers,121611245.0
A. Karhade,5134422.0
Akash A. Shah,2313842894.0
Tse‐Chuan Yang,2949264.0
B. Bindels,1404210932.0
Shih-Hsiang Dai,2219927065.0
J. Verlaan,144282055.0
Joseph H Schwab,2313088399.0
Shu-Hua Yang,2247345700.0
Francis J Hornicek,2313596772.0
Ming-Hsiao Hu,8367866.0
Robert M. Savage,2251274862.0
Delos M. Cosgrove,2237994560.0
Sherin Kularathne,2307745696.0
Amanda Perera,2337380916.0
Namal Rathnayake,2114558833.0
Upaka S. Rathnayake,70531964.0
Yukinobu Hoshino,2271867310.0
M. H. Zahmani,9081907.0
B. Atmani,3287693.0
A. Bekrar,3132058.0
N. Aissani,40118887.0
Sarah Shafqat,40460371.0
Zahid Anwar,2213873418.0
Qaisar Javaid,2281454.0
H. F. Ahmad,2088138377.0
Awos Kanan,39740778.0
Amal Taha,2200547919.0
Fadhila Tangguh Admojo,73529923.0
Yudha Islami Sulistya,2181472973.0
Pei-Hua Lin,2289926574.0
Ping-Huan Kuo,2266529178.0
Kuan-Lin Chen,2266577868.0
Yong Wang,2294545179.0
B. Rimal,3407759.0
Carson Koball,2159004238.0
Michael Fahnlander,2304845298.0
Julia Scheaffer,2304793932.0
Joshua Hammrich,2304795675.0
Paolo Gentry,2304795278.0
Dylan Westlund,2304793998.0
Tyler Salmen,2304794424.0
Connor Ford,2304799472.0
Wenru Zhang,2312864048.0
Ying Zhou,2272424983.0
Liuhui Xu,2170670021.0
Chaomin Qiu,2295156156.0
Zhixian Luo,2271124396.0
Zhenghao Jiang,2271748002.0
Xinyi Tao,2270428859.0
Yingjie Wu,2312875339.0
Shishi Yao,2312902269.0
Hang Huang,2313030846.0
Xinshi Wang,2312866805.0
Yunjun Yang,2270702453.0
Ru Lin,2150033004.0
D. A. Peterson,145941068.0
J. Knight,2526983.0
M. Kirby,152768617.0
C. Anderson,144826602.0
M. Thaut,2328412.0
N. Agrawal,49504506.0
Ajeet K. Sharma,2110199755.0
M. Bagheri,2394641.0
A. Akbari,9211742.0
S. A. Mirbagheri,39473012.0
R. Moheimani,15385671.0
Marcial Gonzalez,50364784.0
H. Dalir,49317795.0
S. Toxanov,2051287091.0
D. Abzhanova,2280516752.0
A. Neftissov,98450833.0
A. Biloshchytskyi,30681780.0
Xujing Bai,2012774630.0
Lei Zhang,145637096.0
Tong Yang,2109350939.0
Zhixin Hu,1504481712.0
Ranjeet Nagarkar,2346125337.0
Colin Bennie,2346128686.0
Kejia Wang,2346461575.0
Mark Lam,2346125827.0
Daniel Gonzalez,2346815327.0
Mahesh B. Chaudhari,2346125178.0
Christopher Miles,48512538.0
Ms. Likitha. K,2283233014.0
Ms. Harshitha S,2283235007.0
Pathanjali C,2283231256.0
Chung-Tsai Su,3157188.0
Chien-Yu Chen,97913682.0
Yu-Yen Ou,2781033.0
Tejas G. Puranik,28974080.0
D. Mavris,1703218.0
Ehsan Nowroozi,26973516.0
Abhishek,2116602.0
Mohammadreza Mohammadi,2097672910.0
M. Conti,145746490.0
Yi Li,2153683263.0
Baoyao Yang,7324583.0
Dan Pan,145793370.0
An Zeng,2065209361.0
Long Wu,2233545527.0
Yang Yang,2233751499.0
Arie Satia Dharma,123539048.0
Judah Michael Parluhutan Sitorus,2230000137.0
Andreas Hatigoran,2230012656.0
Justin S. Smith,2109795450.0
B. Nebgen,16253773.0
R. Zubatyuk,2147518.0
N. Lubbers,95613409.0
Christian Devereux,152907820.0
K. Barros,2435667.0
S. Tretiak,6232252.0
O. Isayev,2385206.0
A. Roitberg,145848913.0
Ang Li,2213599403.0
Théophile Sautory,1919023346.0
S. Shadden,3387799.0
Muhammad Hazimmuddin Hussin,2292331557.0
Yuzi Mahmud,2261547695.0
Nurul Izzah Mohd Hanafiah,2292331333.0
Zan Azma Nasruddin,2292331237.0
Nor Hapiza Mohd Ariffin,2089567022.0
Murat Ince,2292332132.0
F. A. Şenel,3384718.0
Jintao Xu,2209041790.0
Kai Chen,2209387409.0
Yaohui Yu,7877211.0
Yishu Wang,2140282634.0
Yi Zhu,49781537.0
Xiangjie Zou,1431743814.0
Yiqiu Jiang,4545096.0
W. N. Zanial,116720357.0
M. Malek,104307739.0
M. N. Reba,108240685.0
N. Zaini,35917656.0
A. Ahmed,1689298.0
M. Sherif,12686038.0
Ahmed Elshafie,2007619446.0
N. Shanmugasundaram,93344678.0
S. Praveenkumar,49960699.0
K. Gayathiri,70284781.0
S. Divya,88157862.0
Wei Wang,2158625346.0
Huanhuan Feng,2292351109.0
Yanzong Li,2292205846.0
Quanwei You,2228271705.0
Xu Zhou,2292731898.0
O. Georginova,15057497.0
M. Kobzar,2241137373.0
Jayun Kim,1662806370.0
Woosik Jung,2250206934.0
Jusuk An,97327920.0
H. Oh,2250122075.0
Joonhong Park,2250158179.0
Télesphore Tiendrébéogo,2111964.0
Yassia Zagre,2140541021.0
Arash Karimzadeh,113054314.0
O. Shoghli,98127546.0
Abdallah Bashir Musa,2675617.0
Yingli Pan,152270990.0
Zhanxu Liu,1453924341.0
G. Urgessa,144760655.0
Javad Esfandiari,2237316063.0
K. Yan,31837119.0
Hongyu Zhao,145400502.0
Joseph T. Wu,2111155094.0
H. Pang,1905832.0
Prakriti Dhakal,2007081196.0
Mitchell Humphreys,2296824748.0
Kevin M. Wymer,2257329877.0
Ben Chew,2296838945.0
Janet Zhen,2296849340.0
Fuad Elkhoury,2296840329.0
S. Sivalingam,3192475.0
Matthew Dunn,2296845427.0
Michael Borofsky,2296838366.0
Kshitija Aher,2166095458.0
Azida Mansor,2323872882.0
Zuraini Othman,2323877918.0
Dongsik Kim,2352758960.0
J. Kang,2309107072.0
Priyanka Sharma,2268201974.0
Shruti J. Pandey,1400286111.0
Sonalika Ray,2268076604.0
Mohit Mazumder,2268076586.0
Payal Gupta,2220241357.0
Abhishek Sengupta,2268069503.0
Ankur Chaurasia,2268068260.0
D. Boyd,31138924.0
Bertrand Perrat,6388538.0
Xiaodong Li,15524501.0
B. Jackson,2059708712.0
T. Landman,10328018.0
F. Ling,153084611.0
K. Bales,102218493.0
A. Choi-Fitzpatrick,1404875068.0
James Goulding,2057098.0
S. Marsh,40516637.0
G. Foody,145181054.0
P. Patil,2006020008.0
T. Bagwan,107774505.0
S. Kulkarni,101734118.0
C. Lobo,145516152.0
S. Khonde,2985034.0
N. Zhang,38930076.0
Yanpeng Qu,144666283.0
Ansheng Deng,38459018.0
C. Enyoh,94744039.0
P. E. Ovuoraye,2224542341.0
M. Rabin,95396530.0
Qingyue Wang,2258298788.0
Mohammad Abdullah Tahir,2216348121.0
Y. Bengio,1865800402.0
Michael K. Cohen,2295226237.0
Nikolay Malkin,2067020770.0
Matt MacDermott,2315926886.0
Damiano Fornasiere,1573661286.0
Pietro Greiner,2315926108.0
Younesse Kaddar,2257024037.0
Yu-Hao Zhan,2341536104.0
Zanyang Xing,2249427869.0
Tong Xu,2309122765.0
Qing‐He Zhang,2305691290.0
Feng Oiao,2341533065.0
Yong Wang,49417391.0
Marcelo Dos-Reis,2326364376.0
Celso Iwata Frison,117573565.0
Fabiano Costa Teixeira,2326365031.0
H. T. Marques-Neto,1403267048.0
Chih-Hung Wu,1792578.0
Wei-Han Su,1796247.0
Ya-Wei Ho,40498886.0
Abhishek Bhatt,2124521724.0
S. Choubey,71706730.0
A. Choubey,9255319.0
K. Pachori,2317915.0
Vandana Thakur,2076257351.0
Brankica Bratić,8552088.0
V. Kurbalija,3113695.0
M. Ivanović,144395551.0
Iztok Oder,51480852.0
Z. Bosnić,2025112.0
Hongjin Kim,2110134563.0
Harksoo Kim,2108880610.0
E. Kearns,104810796.0
Christina Morin,82528264.0
Xiaotong Bai,2315228661.0
