Author_Name,Author_ID
T. Šušteršič,2857902
V. Gribova,50186106
Milica G. Nikolić,46357489
P. Lavalle,2464183
Nenad Filipović,2174577196
N. Vrana,5949283
Lauriane Petit,2147278596
C. Seguin,48036925
S. Fournel,145086061
A. Kichler,5200853
A. Suwardi,16105396
Fuke Wang,9836129
K. Xue,49572269
M. Han,2118698335
P. Teo,92096981
Pei Wang,2155650933
Shijie Wang,2268798422
Ye Liu,2108334233
E. Ye,66134654
Zibiao Li,2108127
X. Loh,4577841
Anastasiia Navalikhina,2127747851
O. Lysenko,40327606
C. Calligaro,2080792630
Eloïse Lebaudy,1995551750
Lucie Deiber,2127745029
B. Senger,4573861
Bo Mi Lee,49132463
S. Park,2115610563
I. Noh,145927469
C. Kim,4095583
Jacob Kerner,2023924995
Alan B. Dogan,121741126
H. V. von Recum,8516998
J. Barthès,40239472
P. Lagarrigue,2003476504
V. Riabov,48891799
G. Lutzweiler,114571651
J. Kirsch,92722956
C. Muller,51185986
E. Courtial,71521801
C. Marquette,38615742
F. Projetti,2073204111
J. Kzhyskowska,2032035616
N. Vrana,1992638844
A. Dupret-Bories,1398161514
Jeremy Goecks,2718156
V. Jalili,151506914
Laura M. Heiser,1947002
J. Gray,2259837582
L. Ghasemi‐Mobarakeh,1401280941
Davood Kolahreez,102486099
S. Ramakrishna,34763778
David F. Williams,145172041
S. K. Panda,145746201
Vaibhav Mishra,2139326076
R. Balamurali,9457029
Ahmed A. Elngar,2263237
Gissel Velarde,23744996
Xing Hao,2113979381
Guigang Zhang,8273966
Shang Ma,2118869556
M. El Ouaazizi,1642037301
Ismail Akharraz,2350505736
G. George,101494947
Anisha M. Lal,152311931
Mohammed Beyyoudh,51150280
Mohammed Khalidi,3174191
S. Bennani,2000557
Elham Mousavinasab,51120408
Nahid Zarifsanaiey,7824928
S. R. N. Kalhori,143719327
M. Rakhshan,6046549
L. Keikha,40858624
M. Saeedi,39931875
B. Herbert,36296295
M. Billinghurst,1684805
A. Weerasinghe,143604716
Barrett Ens,2502367
G. Wigley,2237026
Tyne Crow,50626666
Andrew Luxton-Reilly,1402104736
B. Wünsche,3132353
Alan Ram�rez-Noriega,1414448655
Reyes Juarez-Ram�rez,1414186754
Samantha Jim�nez,1414519504
Sergio Inzunza,1394927179
R. Navaro,40950193
Janeth L�pez-Mart�nez,1414194453
Sanjaya Mishra,34030129
Binshan Zhang,2334735633
Yunqi Wu,2306834116
Zhongli Wang,2334581284
Suhua Gao,2339422376
Hongyan Liu,2115669246
Yao Lin,2149202194
Pei Yu,2271660714
Yaling Tao,48273469
Xuefeng Bai,6713131
Yinjie Zhou,37517442
Yue Zhao,152621421
Liangwei Yang,9009605
Shun Zhang,2108060889
Yan Sun,2152597954
Xiaochun Huang,2236569517
E. Schneider,1600525348
A. Zampetaki,4339848
A. Margariti,145889663
M. Giacca,48083324
J. N. Arnold,4317000
L. Zeng,47462135
Ting Cai,2072571985
Moumita Kundu,144682538
Subhayan Das,3661610
Ankita Dey,2299383513
Mahitosh Mandal,2249225631
Stefano Zoroddu,2122952379
L. Sanna,22726676
Valentina Bordoni,28917533
Lyu Weidong,79728122
S. Gadau,5047952
Antonio Carta,2303162657
David J. Kelvin,2196703432
L. Bagella,6706295
Yiyang Wang,2175083230
Yongxiang Li,2275278432
Yubo Jing,2295773643
Yuqi Yang,2295843376
Haiyang Wang,2290437613
Dilimulati Ismtula,2174195328
Chenming Guo,2115610836
Xiaowei Zhang,2262086627
Jiayu Tan,2281394463
Xinyu Zhang,2290389448
Kritika Pandey,2280609420
Yuqing Zhong,2263161512
Guitao Wu,2280886694
Kejun He,2261922751
Xuena Pang,1998853972
Hongfei Du,11239455
Fang Nie,2064288196
Xiangchou Yang,13744338
Ying Xu,2118669781
Xueyuan Huang,82038542
Hao Chi,2056175119
S. Gou,117387028
Xiyuan Guo,13632211
Lin Li,2155690487
Gaoge Peng,2181790063
Jinhao Zhang,2117980663
Jiayu Xu,2129436011
Siji Nian,4738949
Qing Yuan,145102162
Rhett Visintin,2154269493
S. Ray,144500997
Benjamin D Simon,2280596239
Katie M Merriman,2212634798
S. Harmon,35423821
Jesse Tetreault,117567532
Enis Cagatay Yilmaz,1491008163
Z. Blake,2218504582
Maria J. Merino,2240901526
Julie Y. An,2256870711
Jamie Marko,2260575227
Y. Law,79401918
S. Gurram,40515037
Bradford J. Wood,2242473521
P. Choyke,2259928198
P. Pinto,2253436762
B. Turkbey,6462472
Hamed Ghaffari,51507089
H. Tavakoli,145536388
G. Pirzad Jahromi,4343771
H. Michaely,5806823
G. Aringhieri,28306462
D. Cioni,11329790
E. Neri,3204076
Eman Showkatian,2341210613
Mohammad Salehi,2069481620
R. Reiazi,26510240
N. Sadighi,6519623
R. Siegel,4667051
K. D. Miller,32368708
Hannah E Fuchs,2046363678
A. Jemal,144568054
R. Mohammadi,2065963680
H. Sung,47022509
J. Ferlay,145462773
M. Laversanne,4467059
I. Soerjomataram,6518139
